N,P,K,temperature,humidity,ph,rainfall,label,label_encoded
0.6428571428571428,0.2642857142857143,0.19,0.32285857499908216,0.7902668315256756,0.4662636371578488,0.6564577820612741,rice,20
0.6071428571428571,0.37857142857142856,0.18000000000000002,0.34931710607236427,0.770632850772957,0.5494802634661211,0.7416745925400796,rice,20
0.42857142857142855,0.35714285714285715,0.195,0.38597265909012307,0.7939766359872729,0.6742187657204011,0.8757103904101947,rice,20
0.5285714285714286,0.2142857142857143,0.17500000000000002,0.4895422521250152,0.7687514436037337,0.5405078809463393,0.7999054664892735,rice,20
0.5571428571428572,0.2642857142857143,0.185,0.3005928385786379,0.7856255161385323,0.6412913769420499,0.8712307343962911,rice,20
0.4928571428571428,0.2285714285714286,0.185,0.38756452243507183,0.8062177449543491,0.5549787519923273,0.8293324448982635,rice,20
0.4928571428571428,0.35714285714285715,0.165,0.37719131405388057,0.7976938172769268,0.3415144311123298,0.9021542316518835,rice,20
0.6714285714285714,0.34285714285714286,0.17500000000000002,0.30497632894025256,0.8006646625084191,0.3442859023549094,0.7967086172840259,rice,20
0.6357142857142857,0.35,0.165,0.430869016730913,0.8081436804621209,0.49462312933422425,0.7552931093745895,rice,20
0.4857142857142857,0.37857142857142856,0.165,0.39249328279593126,0.8022877900557605,0.44033471146007563,0.7221079889797883,rice,20
0.65,0.34285714285714286,0.17500000000000002,0.4906157445828418,0.7834401915158342,0.2925842082150222,0.8780478245326272,rice,20
0.6428571428571428,0.29285714285714287,0.185,0.4149205956820157,0.7838260526889486,0.6217529136650028,0.8258412639578887,rice,20
0.5571428571428572,0.37857142857142856,0.195,0.49874179570136795,0.7772494951643334,0.24943158014966904,0.949259137235603,rice,20
0.6642857142857143,0.36428571428571427,0.155,0.415989788975249,0.7908982497215867,0.5411225849858909,0.5930186936723807,rice,20
0.6714285714285714,0.32142857142857145,0.16,0.46502859859508555,0.7746481443629094,0.5354722089637529,0.6803538197107313,rice,20
0.42857142857142855,0.30714285714285716,0.17,0.42392445315608857,0.7704066801900776,0.5501338383992136,0.7575927373411898,rice,20
0.6071428571428571,0.2357142857142857,0.18000000000000002,0.3438709256725733,0.7994314536987555,0.4267735482119609,0.9213042496937237,rice,20
0.65,0.2142857142857143,0.17,0.40942336236850124,0.7717823034149283,0.5390241097382393,0.6684055565882447,rice,20
0.5499999999999999,0.2357142857142857,0.155,0.35213283787783806,0.7691473446915107,0.3808790149995738,0.7341282329996197,rice,20
0.6285714285714286,0.2142857142857143,0.17500000000000002,0.40305219500716044,0.8087547924039359,0.36532754794907196,0.973912391952698,rice,20
0.6357142857142857,0.2857142857142857,0.155,0.33608602498303924,0.7724423810842008,0.4568535698977121,0.5938095512598156,rice,20
0.5428571428571428,0.25,0.19,0.4499268141415536,0.8032666059104807,0.24344338535976673,0.7586632702353184,rice,20
0.47857142857142854,0.38571428571428573,0.18000000000000002,0.35458095115773164,0.7782643089414143,0.3900075104538634,0.6938948179925413,rice,20
0.5928571428571429,0.2571428571428572,0.19,0.3279913072977196,0.7981485476264769,0.4275476591028611,0.7648542974294824,rice,20
0.7,0.3,0.16,0.40021174560443823,0.7824499450014114,0.6019481847749768,0.7323430612629788,rice,20
0.4714285714285714,0.34285714285714286,0.18000000000000002,0.44749637636017175,0.7730154716291151,0.6646870760899621,0.8507044990646769,rice,20
0.6928571428571428,0.38571428571428573,0.19,0.48562643411414724,0.8140792476573745,0.4325974283217259,0.9022754942329806,rice,20
0.6928571428571428,0.32142857142857145,0.18000000000000002,0.43126546042287,0.7732615441444746,0.5545909795550641,0.8624146825256421,rice,20
0.42857142857142855,0.3142857142857143,0.195,0.31976981133888355,0.8193719188689319,0.42611896913265035,0.7899073310570631,rice,20
0.6,0.32857142857142857,0.15000000000000002,0.3650936582660687,0.7744185024001528,0.3947774472776674,0.6386512967840192,rice,20
0.5214285714285715,0.37142857142857144,0.18000000000000002,0.33969508944622845,0.8245748550623077,0.3607830028397062,0.9053044512410986,rice,20
0.6571428571428571,0.2142857142857143,0.17500000000000002,0.3614620957425511,0.7707684974088922,0.4436216054977844,0.6462286846545733,rice,20
0.6071428571428571,0.2285714285714286,0.17,0.43122418897745934,0.798830511040522,0.44467063302380305,0.7345618837942501,rice,20
0.7,0.34285714285714286,0.165,0.3046594520228965,0.7860230636761913,0.23478623648226982,0.8989814755944943,rice,20
0.6285714285714286,0.35,0.195,0.4670953715495491,0.8121967659912075,0.4112782447685098,0.7649425162239819,rice,20
0.6785714285714286,0.35714285714285715,0.185,0.49857970356173226,0.7919623117613115,0.3803700651141593,0.6220113042009683,rice,20
0.7071428571428571,0.37142857142857144,0.15000000000000002,0.49745693780015104,0.7806381896380882,0.38188001752597023,0.9056571927738531,rice,20
0.6785714285714286,0.24285714285714288,0.155,0.411484427560396,0.8036792478496197,0.3198348508194596,0.9521796012501387,rice,20
0.42857142857142855,0.2714285714285714,0.195,0.3270084213748828,0.8013427827673443,0.6082872377707842,0.9994313955312448,rice,20
0.45,0.2785714285714286,0.18000000000000002,0.4206834967523186,0.8104014084008061,0.32325168498565693,0.850813962064063,rice,20
0.44285714285714284,0.2642857142857143,0.155,0.37934491183501956,0.7910186310584174,0.454915077831885,0.8209376661889276,rice,20
0.45714285714285713,0.2857142857142857,0.19,0.46395771361786425,0.8080644357584175,0.3157105755038694,0.6814791230844159,rice,20
0.5928571428571429,0.39285714285714285,0.155,0.46298483432514254,0.7685966439518721,0.5286243821230325,0.6489109996701358,rice,20
0.5857142857142857,0.25,0.17500000000000002,0.4105151710557196,0.8230565101565066,0.43026141783079663,1.0,rice,20
0.6071428571428571,0.33571428571428574,0.2,0.4842684348670117,0.7945158911355392,0.5784350602364936,0.8813556305461989,rice,20
0.65,0.2142857142857143,0.165,0.4421984468871794,0.7730384454026569,0.40892636217359535,0.5872776309741595,rice,20
0.5428571428571428,0.3142857142857143,0.185,0.44402518934033425,0.819160656158316,0.26462383920044064,0.6349756189434617,rice,20
0.5285714285714286,0.24285714285714288,0.165,0.3930030500070167,0.8204716650326481,0.6651747889904522,0.7646307071398394,rice,20
0.5642857142857143,0.2714285714285714,0.17,0.34622250573109786,0.7751818939246212,0.5533187323620326,0.6847628118796147,rice,20
0.6285714285714286,0.35714285714285715,0.2,0.43442074870188735,0.7717292331114786,0.6571373443559054,0.8389077612673189,rice,20
0.42857142857142855,0.22142857142857142,0.19,0.3986494310329241,0.8026362864754764,0.277038513644536,0.717421923634595,rice,20
0.5428571428571428,0.39285714285714285,0.17,0.29807504782060174,0.7709607889666517,0.5072031236932646,0.67673981052804,rice,20
